type,role,sendMsgFile,Send,Recv,HandshakeCPUTime,CommCPUTime
continuity,client,resources/plain.1KB.txt,1024,1024,257927779,88855570
continuity,server,resources/plain.1KB.txt,1024,1024,278799481,85626746
continuity,client,resources/plain.1KB.txt,1024,1024,278483440,94523325
continuity,server,resources/plain.1KB.txt,1024,1024,231766323,83466004
continuity,client,resources/plain.1KB.txt,1024,1024,231548453,93528824
continuity,server,resources/plain.1KB.txt,1024,1024,216103247,90741802
continuity,client,resources/plain.1KB.txt,1024,1024,215859757,99428430
continuity,server,resources/plain.1KB.txt,1024,1024,231190273,88087929
continuity,client,resources/plain.1KB.txt,1024,1024,230994513,97455828
continuity,server,resources/plain.1KB.txt,1024,1024,249623261,88654849
continuity,client,resources/plain.1KB.txt,1024,1024,249296560,96810147
continuity,server,resources/plain.1KB.txt,1024,1024,249588631,93027574
continuity,client,resources/plain.1KB.txt,1024,1024,249356100,103565645
continuity,server,resources/plain.1KB.txt,1024,1024,271472983,82524263
continuity,client,resources/plain.1KB.txt,1024,1024,271275703,91352852
continuity,server,resources/plain.1KB.txt,1024,1024,191384412,88436279
continuity,client,resources/plain.1KB.txt,1024,1024,191168992,99031380
continuity,server,resources/plain.1KB.txt,1024,1024,288522150,85431966
continuity,client,resources/plain.1KB.txt,1024,1024,288450440,93383964
continuity,server,resources/plain.1KB.txt,1024,1024,343383926,87861328
continuity,client,resources/plain.1KB.txt,1024,1024,343153426,98565929
continuity,server,resources/plain.1KB.txt,1024,1024,196419797,84757196
continuity,client,resources/plain.1KB.txt,1024,1024,196201957,95860017
continuity,server,resources/plain.1KB.txt,1024,1024,200855242,87891339
continuity,client,resources/plain.1KB.txt,1024,1024,200656661,96567407
continuity,server,resources/plain.1KB.txt,1024,1024,303842786,89113759
continuity,client,resources/plain.1KB.txt,1024,1024,303566166,99446780
continuity,server,resources/plain.1KB.txt,1024,1024,341005423,84417615
continuity,client,resources/plain.1KB.txt,1024,1024,340749183,94592695
continuity,server,resources/plain.1KB.txt,1024,1024,271054813,83094493
continuity,client,resources/plain.1KB.txt,1024,1024,270799753,93383354
continuity,server,resources/plain.1KB.txt,1024,1024,281617643,89817181
continuity,client,resources/plain.1KB.txt,1024,1024,281383483,99979921
continuity,server,resources/plain.1KB.txt,1024,1024,208047259,86251396
continuity,client,resources/plain.1KB.txt,1024,1024,207766109,94199414
continuity,server,resources/plain.1KB.txt,1024,1024,341891053,84904586
continuity,client,resources/plain.1KB.txt,1024,1024,341918853,93667455
continuity,server,resources/plain.1KB.txt,1024,1024,261881823,85877696
continuity,client,resources/plain.1KB.txt,1024,1024,261553563,95147745
continuity,server,resources/plain.1KB.txt,1024,1024,284822626,90175381
continuity,client,resources/plain.1KB.txt,1024,1024,284556886,103193934
continuity,server,resources/plain.1KB.txt,1024,1024,338925691,84544135
continuity,client,resources/plain.1KB.txt,1024,1024,338700981,92422293
continuity,server,resources/plain.1KB.txt,1024,1024,262369614,84151485
continuity,client,resources/plain.1KB.txt,1024,1024,262055853,92208913
continuity,server,resources/plain.1KB.txt,1024,1024,261778684,84142874
continuity,client,resources/plain.1KB.txt,1024,1024,261513883,91820542
continuity,server,resources/plain.1KB.txt,1024,1024,207977799,93020434
continuity,client,resources/plain.1KB.txt,1024,1024,207752479,102062203
continuity,server,resources/plain.1KB.txt,1024,1024,263053104,83004164
continuity,client,resources/plain.1KB.txt,1024,1024,262782694,91166542
continuity,server,resources/plain.1KB.txt,1024,1024,262071833,86729048
continuity,client,resources/plain.1KB.txt,1024,1024,261834553,97313018
continuity,server,resources/plain.1KB.txt,1024,1024,349835652,86359207
continuity,client,resources/plain.1KB.txt,1024,1024,349500071,95198976
continuity,server,resources/plain.1KB.txt,1024,1024,271266713,88928510
continuity,client,resources/plain.1KB.txt,1024,1024,271037503,100292151
continuity,server,resources/plain.1KB.txt,1024,1024,280672452,84149825
continuity,client,resources/plain.1KB.txt,1024,1024,280387012,91963493
continuity,server,resources/plain.1KB.txt,1024,1024,281454843,95112396
continuity,client,resources/plain.1KB.txt,1024,1024,281046723,103833054
continuity,server,resources/plain.1KB.txt,1024,1024,268723430,88786270
continuity,client,resources/plain.1KB.txt,1024,1024,268479100,96579997
continuity,server,resources/plain.1KB.txt,1024,1024,316987909,87428928
continuity,client,resources/plain.1KB.txt,1024,1024,316591409,97589128
continuity,server,resources/plain.1KB.txt,1024,1024,265328177,82536012
continuity,client,resources/plain.1KB.txt,1024,1024,265118337,90740571
continuity,server,resources/plain.1KB.txt,1024,1024,191030953,89605520
continuity,client,resources/plain.1KB.txt,1024,1024,190836623,99694890
