type,role,sendMsgFile,handshake1_len,handshake2_len,c2sCipher,c2sPlain,s2cCipher,s2cPlain,handshakeCPUTime,commCPUTime
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,142560243,13603124
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,119889131,6832686
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123244274,17902838
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,126358877,11802482
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,134640895,14157595
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125127905,7055298
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128385939,23164613
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128296859,7843978
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,132603233,21246162
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,138114739,9038909
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,143771904,14793965
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,131000152,7496597
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,135146796,13849054
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123713015,10694771
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,130990732,13890384
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,144812116,6867017
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,147843749,22551603
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128141959,6639636
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,131464752,17638828
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,114187044,6004576
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,117831018,12840603
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123921575,7712217
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128103669,17932528
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,135953327,14262804
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,145964047,15201425
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124150075,9024340
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129787021,14612145
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122241483,6485877
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125677267,14608314
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,138877820,8235809
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,143550984,18425999
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,137239757,9972481
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,141923963,25654985
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,136479637,7671518
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,140914692,18147608
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125427117,7808647
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128395420,23430713
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129119110,6850057
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,132922344,13988994
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,118494900,10716850
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,126057627,14184575
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,115420116,5732896
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,118813520,13570793
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,155434087,14362614
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,165858137,14811015
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,118143419,6980947
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121478442,17468778
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127072348,7867107
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,131080152,17969138
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,117277618,7395927
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121415752,13861164
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,126414458,7649587
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,130431712,14460104
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,139772991,6925747
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,143776705,13733654
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,118746199,7660278
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123578394,13746014
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,126828627,12807123
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,136168007,14906465
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,116712377,9035940
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122519424,13655363
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,136639287,8376569
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,142023573,13586383
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,130529271,8689649
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,136048967,14003124
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123175794,8503658
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128794290,13786414
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,114914426,6466546
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,118460879,13978124
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127437678,10549061
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,134344846,14001523
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,133975995,6837367
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,137263948,17342458
